386,SINOPEC CORP,"HK$6.810
0.000 (0.00%)",-,173.74B,12.98x,9.96%
6166,CHINA VAST,"HK$3.100
0.000 (0.00%)",-,5.11B,3.77x,9.68%
148,KINGBOARD HLDG,"HK$22.050
0.000 (0.00%)",-,23.88B,4.11x,9.52%
737,HOPEWELL INFR,"HK$3.870
0.000 (0.00%)",-,11.92B,15.76x,9.51%
665,HAITONG INT'L,"HK$2.700
0.000 (0.00%)",-,15.63B,4.78x,9.48%
511,TVB,"HK$17.140
0.000 (0.00%)",-,7.50B,30.82x,9.33%
606,CHINA AGRI,"HK$2.720
0.000 (0.00%)",-,14.30B,4.69x,9.01%
978,CHI MER LAND,"HK$1.120
0.000 (0.00%)",-,5.49B,2.71x,8.93%
6889,DYNAM JAPAN,"HK$9.400
0.000 (0.00%)",-,7.20B,9.34x,8.89%
3818,CHINA DONGXIANG,"HK$1.230
0.000 (0.00%)",-,7.23B,6.84x,8.85%
3377,SINO-OCEAN GP,"HK$3.350
0.000 (0.00%)",-,25.51B,3.98x,8.81%
1238,POWERLONG,"HK$3.000
0.000 (0.00%)",-,11.99B,2.87x,8.80%
6139,JINMAO HOTEL-SS,"HK$4.090
0.000 (0.00%)",-,8.18B,29.92x,8.80%
1098,ROAD KING INFRA,"HK$12.500
0.000 (0.00%)",-,9.36B,4.79x,8.64%
817,CHINA JINMAO,"HK$3.520
0.000 (0.00%)",-,40.65B,7.55x,8.52%
1359,CHINA CINDA,"HK$2.010
0.000 (0.00%)",-,27.27B,3.57x,8.46%
336,HUABAO INTL,"HK$3.740
0.000 (0.00%)",-,11.62B,7.60x,8.29%
3339,LONKING,"HK$1.970
0.000 (0.00%)",-,8.43B,6.44x,8.12%
1777,FANTASIA,"HK$0.870
0.000 (0.00%)",-,5.01B,3.51x,8.05%
1929,CHOW TAI FOOK,"HK$7.190
0.000 (0.00%)",-,71.90B,17.56x,7.93%
34,KOWLOON DEV,"HK$8.330
0.000 (0.00%)",-,9.80B,5.92x,7.80%
1848,CALC,"HK$8.200
0.000 (0.00%)",-,5.55B,7.54x,7.80%
83,SINO LAND,"HK$12.660
0.000 (0.00%)",-,83.59B,5.81x,7.74%
337,GREENLAND HK,"HK$1.940
0.000 (0.00%)",-,5.41B,3.38x,7.73%
581,CHINA ORIENTAL,"HK$6.770
0.000 (0.00%)",-,25.20B,3.89x,7.68%
1171,YANZHOU COAL,"HK$7.690
0.000 (0.00%)",-,15.01B,4.14x,7.68%
2689,ND PAPER,"HK$7.610
0.000 (0.00%)",-,35.57B,3.96x,7.64%
3669,YONGDA AUTO,"HK$4.460
0.000 (0.00%)",-,8.19B,3.94x,7.53%
1070,TCL ELECTRONICS,"HK$3.370
0.000 (0.00%)",-,7.87B,7.11x,7.38%
604,SHENZHEN INVEST,"HK$2.450
0.000 (0.00%)",-,20.16B,3.85x,7.35%
1966,CHINA SCE GROUP,"HK$2.730
0.000 (0.00%)",-,10.43B,2.75x,7.33%
1513,LIVZON PHARMA,"HK$26.100
0.000 (0.00%)",-,6.42B,3.38x,7.25%
86,SUN HUNG KAI CO,"HK$3.600
0.000 (0.00%)",-,7.22B,4.29x,7.22%
884,CIFI HOLD GP,"HK$3.470
0.000 (0.00%)",-,26.95B,4.10x,7.20%
1333,CHINA ZHONGWANG,"HK$3.520
0.000 (0.00%)",-,19.18B,5.68x,7.10%
1836,STELLA HOLDINGS,"HK$8.450
0.000 (0.00%)",-,6.71B,13.85x,7.10%
1638,KAISA GROUP,"HK$2.090
0.000 (0.00%)",-,12.68B,2.78x,7.08%
1233,TIMES CHINA,"HK$7.230
0.000 (0.00%)",-,13.25B,3.87x,7.05%
1270,LANGHAM-SS,"HK$2.880
0.000 (0.00%)",-,6.07B,5.23x,6.98%
1234,CHINA LILANG,"HK$7.030
0.000 (0.00%)",-,8.41B,11.24x,6.97%
8,PCCW,"HK$4.330
0.000 (0.00%)",-,33.42B,14.85x,6.95%
123,YUEXIU PROPERTY,"HK$1.360
0.000 (0.00%)",-,16.86B,6.02x,6.91%
303,VTECH HOLDINGS,"HK$91.000
0.000 (0.00%)",-,22.89B,14.21x,6.89%
341,CAFE DE CORAL H,"HK$17.080
0.000 (0.00%)",-,10.00B,21.63x,6.79%
2128,CHINA LESSO,"HK$4.190
0.000 (0.00%)",-,12.99B,4.58x,6.68%
551,YUE YUEN IND,"HK$22.600
0.000 (0.00%)",-,36.53B,9.18x,6.64%
832,CENTRAL CHINA,"HK$2.950
0.000 (0.00%)",-,8.05B,7.18x,6.59%
